Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-196200.66240817896,553.022,0.0822,63.82,0.09293191647253962,0.95,100
2,4000,-211342.74441810124,567.329,0.0837,63.2,0.00113455067709489,0.9025,100
3,6000,-190461.39731038298,578.42,0.0823,61.99,0.0007628085850310189,0.8573749999999999,100
4,8000,-104841.6181833818,463.052,0.0696,67.84,0.0009322682197216753,0.8145062499999999,30
5,10000,-203587.67685736055,494.984,0.0838,69.05,0.0024601635781385687,0.7737809374999999,100
6,12000,-211865.93963253932,659.327,0.0856,55.35,0.0032760886697989393,0.7350918906249998,50
