Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-270073.41740819014,553.022,0.0822,63.82,0.07377721495614771,0.95,100
2,4000,-269524.3434492296,564.305,0.0823,63.83,0.0017211050588081078,0.9025,100
3,6000,-244019.57889868287,560.141,0.0796,64.35,0.00043112892971586356,0.8573749999999999,100
4,8000,-147713.89452455883,534.78,0.0645,64.92,0.000524719840469165,0.8145062499999999,30
5,10000,-231081.66568532464,576.473,0.0775,64.79,0.001360370135306686,0.7737809374999999,100
6,12000,-224910.60405723483,583.551,0.076,64.19,0.0017931499238241202,0.7350918906249998,50
