arm,seed,episodes,steps_per_episode,total_steps,densities,started,finished,exit_code,models
mean,42,100,2000,200000,"5 10 15 20 25 30 35",2026-09-02T14:49:06+09:00,2026-09-03T11:04:39+09:00,0,9종
accumulate,42,100,2000,200000,"5 10 15 20 25 30 35",2026-09-02T14:49:03+09:00,2026-09-03T11:38:35+09:00,0,9종
