Episode,Reward,ActorLoss,CriticLoss,AoI_mean,CBR_mean,PDR_mean
1,-943.8757714826451,0.5425781812518835,0.09244492972114433,198.027,0.0073,84.77
2,-2189.5358931930837,1.1493172533810139,0.018078423848055535,248.138,0.0126,84.94
3,-1566.2864888048553,2.1221175879240035,0.02434758652865033,289.694,0.0099,78.85
4,-2161.300809377708,3.4994295225902037,0.05775677411425435,288.848,0.0133,79.7
5,-841.6381623703498,5.080608258997728,0.05417869916672672,291.206,0.0104,81.93
