Episode,Reward,Loss,AoI_mean,CBR_mean,PDR_mean
1,-943.0645004895139,1.312145532419284,265.309,0.0075,85.58
2,-2203.0536266617232,0.0418728205608204,242.833,0.011,89.58
3,-1578.6625517841223,0.011198200838407502,361.019,0.0081,67.26
4,-2190.7064012935098,0.0072008222931076605,382.027,0.0099,83.63
5,-847.4686659834691,0.005111768072357592,790.278,0.0088,63.07
