Episode,Reward,Epsilon,AoI_mean,CBR_mean,PDR_mean
1,-942.4024607718729,0.959275479229133,361.476,0.0076,81.53
2,-2188.3000327766863,0.9202094450502828,242.326,0.0129,84.18
3,-1568.632675929307,0.8827343563917845,330.113,0.0096,77.27
4,-2167.4619679911634,0.8467854227597494,293.246,0.0127,78.21
5,-846.9528250890049,0.8123004922221027,767.053,0.0092,82.26
