Episode,Reward,Loss,Epsilon,AoI_mean,CBR_mean,PDR_mean
1,-942.9546308254721,0.13560488193373507,0.995,244.425,0.0075,100.0
2,-2187.0138977780894,0.045089147440739906,0.990025,249.893,0.0129,100.0
3,-1563.7366420050214,0.07840175675577483,0.985074875,222.423,0.0102,100.0
4,-2162.9402624185377,0.023508276075299362,0.9801495006250001,285.353,0.013,100.0
5,-843.5038954963516,0.022956616754236166,0.9752487531218751,418.368,0.0099,100.0
