Episode,Reward,Loss,AoI_mean,CBR_mean,PDR_mean
1,-1542.8882027871425,0.3331389199005983,363.976,0.0103,80.42
2,-1478.8656668221224,0.3314671095159394,271.548,0.0108,84.46
3,-1261.680284008927,0.3348326651197828,332.918,0.0074,82.68
4,-379.6795261691394,0.3354396296003017,0.0,0.0052,100.0
5,-573.3090878454507,0.32662309956819513,229.296,0.0078,86.43
