Episode,Reward,Loss_Policy,Loss_Q,AoI_mean,CBR_mean,PDR_mean
1,-1539.4306449844025,-0.2712428456620325,0.24393618149208376,423.119,0.0108,81.28
2,-1476.4961684923826,0.023034171918181762,0.0035426018639437614,301.89,0.0114,80.8
3,-1260.4039875666438,0.41773418503809195,0.007209619239411746,498.888,0.0077,84.25
4,-379.48768744617905,0.7411489678726036,0.039152608465678036,0.0,0.0054,100.0
5,-573.5864070633462,0.9669206109064729,0.01232764060222874,359.794,0.0077,87.33
