Episode,Reward,Epsilon,AoI_mean,CBR_mean,PDR_mean
1,0.0,0.9495996972554392,240.45,0.4304,64.66
2,0.0,0.9017395850276219,278.258,0.4024,67.18
3,0.0,0.8562916369454752,326.61,0.3476,70.05
4,0.0,0.8131342792057877,278.28,0.3449,70.25
5,0.0,0.7721520653618359,217.229,0.424,67.66
