Episode,Reward,Loss,AoI_mean,CBR_mean,PDR_mean
1,-1543.1262486794003,0.1386899360705153,735.12,0.0102,80.09
2,-1475.019441201457,0.10274474874333034,252.225,0.0113,85.47
3,-1255.7246869063656,0.09124947221960156,308.256,0.0082,86.11
4,-378.1233327921421,0.07892201243877493,0.0,0.0058,100.0
5,-570.967656516044,0.07418377168344865,196.897,0.0086,89.98
