Episode,Reward,Loss_Critic,Loss_Actor,AoI_mean,CBR_mean,PDR_mean
1,-1544.2760336634221,0.5889211636555346,0.16615754837476754,532.995,0.0103,100.0
2,-1473.9537044724952,0.24733948414364168,0.523422561922381,333.44,0.0115,100.0
3,-1278.6756201606656,0.03284113801437426,1.1460736157142952,314.566,0.0052,100.0
4,-376.9075823591488,0.008713255424107261,1.866616177458723,0.0,0.006,100.0
5,-569.2334881720539,0.0046661429352228175,2.5629556688030113,1271.167,0.0087,100.0
