Episode,Reward,Loss,Epsilon,AoI_mean,CBR_mean,PDR_mean
1,-942.8134968177947,0.1740646488033235,0.995,246.706,0.0075,100.0
2,-2188.68359604865,0.055702015620045134,0.990025,239.406,0.0126,100.0
3,-1567.0786241166534,0.03459536262380425,0.985074875,234.826,0.0097,100.0
4,-2162.4598172531482,0.03410594842396677,0.9801495006250001,280.788,0.0129,100.0
5,-843.3572108721816,0.03039638495014515,0.9752487531218751,467.548,0.0099,100.0
