Episode,Reward,ActorLoss,CriticLoss,AoI_mean,CBR_mean,PDR_mean
1,-944.7939690567443,-1.4700593849023182,0.49009250414868194,344.835,0.0073,100.0
2,-2186.9628801681715,-1.0276541039347649,0.4146827157959342,245.511,0.0128,100.0
3,-1569.498884806741,-0.14741719624958932,0.031079841759055853,235.387,0.0095,100.0
4,-2172.4362768130886,-0.03605680565349758,0.01389127161120996,400.37,0.012,100.0
5,-858.2505894831112,-0.031705894605256614,0.00432755287270993,821.011,0.007,100.0
