epoch,train_loss,train_acc,val_loss,val_acc
1,2.001584619357262,0.3362573099415205,1.8580032587051392,0.6591293215751648
2,1.6480453914756354,0.6620207927225471,1.4143692255020142,0.6591293215751648
3,1.2277064118933725,0.6620207927225471,1.0689806938171387,0.6591293215751648
4,0.9560152329509332,0.6620207927225471,0.8517504334449768,0.6591293215751648
5,0.7672629629891751,0.6620207927225471,0.6934670209884644,0.6591293215751648
6,0.6477147908858311,0.6620207927225471,0.6158081293106079,0.6591293215751648
7,0.5985051506908781,0.6619558154645874,0.5863394141197205,0.6591293215751648
8,0.5788398559833983,0.6609486679662119,0.5738245248794556,0.6591293215751648
9,0.5697037364229743,0.6647173489278753,0.5669548511505127,0.6688758730888367
10,0.56475732599163,0.6612410656270306,0.5632320642471313,0.6589993238449097
11,0.5617265772401241,0.6626380766731644,0.5607183575630188,0.6657570004463196
12,0.5597351377741557,0.665237166991553,0.5601139664649963,0.6782326102256775
13,0.5584290740705296,0.6657569850552306,0.5579897165298462,0.6808317303657532
14,0.5573117331919382,0.6675763482781026,0.5570018291473389,0.6736842393875122
15,0.5565145592475728,0.6644249512670566,0.5563615560531616,0.6653671264648438
16,0.5558528804484709,0.6641650422352177,0.5561259984970093,0.660558819770813
17,0.5552943246561339,0.6657244964262509,0.5555627942085266,0.6654970645904541
18,0.5549267556235107,0.6680636777128005,0.5550419092178345,0.6768031120300293
19,0.5547352883395938,0.6630604288499026,0.5546891093254089,0.6749837398529053
20,0.5545196212484436,0.6643599740090969,0.5547561645507812,0.6619883179664612
21,0.5543087192756003,0.6649447693307342,0.5543891191482544,0.6690058708190918
22,0.5539078525090233,0.6689408706952567,0.5540027022361755,0.6743339896202087
23,0.5537954348647184,0.668388564002599,0.5540539026260376,0.6679661870002747
24,0.553646393198716,0.6653671215074723,0.5537103414535522,0.6736842393875122
25,0.553606614569242,0.6670240415854451,0.5536940097808838,0.6817414164543152
26,0.5533080200857742,0.6697855750487329,0.5536715388298035,0.6771929860115051
27,0.5533770815206085,0.6673164392462638,0.5534862279891968,0.6813515424728394
28,0.5530921636656401,0.6695256660168941,0.5536194443702698,0.6593891978263855
29,0.5531635351038506,0.6659519168291098,0.5534539818763733,0.6688758730888367
30,0.5529882728782392,0.6669915529564653,0.553434431552887,0.6820012927055359
31,0.5530330162918978,0.666374269005848,0.5531585812568665,0.680701732635498
32,0.5528158146348225,0.6698505523066927,0.5531022548675537,0.6805717945098877
33,0.5527325100214006,0.6676738141650422,0.553223192691803,0.678492546081543
34,0.5528378686942087,0.6705328135152696,0.5529573559761047,0.6743339896202087
35,0.5527163646529447,0.6687459389213776,0.5529554486274719,0.671345055103302
36,0.5527491053797503,0.6674139051332034,0.5530807375907898,0.6669265627861023
37,0.5525564665682832,0.6689083820662768,0.5531899333000183,0.6735542416572571
38,0.5531091556601744,0.6681286549707602,0.5531893968582153,0.661468505859375
39,0.5524948986882587,0.6723521767381416,0.5528296828269958,0.6716049313545227
40,0.5525682992289174,0.6680636777128005,0.5526823997497559,0.6726445555686951
41,0.552451213131174,0.669103313840156,0.5527273416519165,0.6716049313545227
42,0.5524277322938336,0.6693632228719948,0.5526708364486694,0.6716049313545227
43,0.5524623470774248,0.6683560753736192,0.5526086688041687,0.6719948053359985
44,0.5524561086206021,0.667738791423002,0.5525782108306885,0.6710851192474365
45,0.5523754474402558,0.6705003248862897,0.5530651807785034,0.6621182560920715
46,0.5524370312071063,0.6696881091617933,0.5526983141899109,0.6740740537643433
47,0.5523136877370701,0.6696231319038337,0.5525142550468445,0.671345055103302
48,0.5522633238300401,0.6726445743989604,0.5531096458435059,0.6647173762321472
49,0.5522935711539667,0.6680311890838206,0.5530537366867065,0.6621182560920715
50,0.5523035044636023,0.6693307342430149,0.5531491041183472,0.6787524223327637
51,0.5522384855559772,0.6715399610136452,0.5527547001838684,0.6660168766975403
52,0.5522459231002367,0.6679012345679012,0.5529079437255859,0.6641975045204163
53,0.5522958297284878,0.6689083820662768,0.5526711344718933,0.6801819205284119
54,0.5521953600424307,0.6717348927875244,0.5530833005905151,0.6833008527755737
55,0.5521799294262292,0.6706627680311891,0.552486002445221,0.676673173904419
56,0.552227297183211,0.6697530864197531,0.5526824593544006,0.6760233640670776
57,0.5522212413667935,0.6713125406107863,0.5524855852127075,0.6751137375831604
58,0.5520568185692255,0.6742690058479532,0.5524750351905823,0.6821312308311462
59,0.552219391705697,0.6708252111760884,0.5537287592887878,0.6591293215751648
60,0.5521139429868855,0.6687459389213776,0.5527958273887634,0.6782326102256775
