Episode,Reward,Loss,Epsilon,AoI_mean,CBR_mean,PDR_mean
1,-26868.656826471808,0.14163909885683096,0.995,451.573,0.2282,74.86
2,-25251.621316432174,0.02940667276037857,0.990025,474.828,0.2147,77.38
3,-23600.813278967486,0.017049414217472077,0.985074875,615.261,0.1844,73.61
4,-23847.99727561722,0.011629874708596617,0.9801495006250001,519.401,0.1841,75.5
5,-27192.114884173046,0.008867338993004523,0.9752487531218751,400.853,0.2209,76.39
