Model,Epoch,Train_Loss,Val_Loss,MAE,RMSE,R2,Train Loss,Val Loss
ResNet,35,,,,,,10655.806584185591,16988.412541146277
ResNet,36,,,,,,10380.996101634748,16608.976472342514
ResNet,37,,,,,,9962.377116873897,17150.444497513254
ResNet,38,,,,,,9843.832647052615,16757.782266041017
ResNet,39,,,,,,9321.695734699377,16758.011402306456
ResNet,40,,,,,,9167.578431528207,17654.02350125642
ResNet,41,,,,,,9084.422484702513,16875.29817179081
ResNet,42,,,,,,8882.19632610158,16721.017772840554
ResNet,43,,,,,,8815.960432160773,16556.567562727454
ResNet,44,,,,,,8604.136597613357,16687.289104347845
ResNet,45,,,,,,8471.6924558368,16610.060511427415
ResNet,46,,,,,,8401.133636452254,16824.059971897943
ResNet,47,,,,,,7995.454021553468,16650.61382853363
ResNet,48,,,,,,8025.076458191331,16824.83911762838
ResNet,49,,,,,,7749.8174110629725,16546.28112433339
ResNet,50,,,,,,7786.493705129249,16787.490074860867
ResNet,51,,,,,,7676.503533509145,16224.966700748042
ResNet,52,,,,,,7622.222966893662,16580.693123303932
ResNet,53,,,,,,7289.505093708338,16918.257464547492
ResNet,54,,,,,,7259.585060777633,17349.943450332517
ResNet,55,,,,,,7163.805352388053,16857.850686464633
ResNet,56,,,,,,6976.06076338247,16882.620733612384
ResNet,57,,,,,,7078.430577434127,16994.032388445958
ResNet,58,,,,,,6786.377940495373,16647.034939441248
ResNet,59,,,,,,6936.545875860199,16740.563682632357
ResNet,60,,,,,,6778.89171114895,16607.838657486725
ResNet,61,,,,,,6755.156557889769,16905.32760202504
ResNet,62,,,,,,6621.121606050883,16935.643253906128
ResNet,63,,,,,,6636.226176416614,16437.220526502486
ResNet,64,,,,,,6340.585861129491,16906.227151569936
ResNet,65,,,,,,6505.186458494105,16357.42867841311
ResNet,66,,,,,,6344.104047849293,17218.060301388166
ResNet,67,,,,,,6225.957948546124,16670.46138717969
ResNet,68,,,,,,6094.138474160152,17145.419987293026
ResNet,69,,,,,,6239.380654979271,17206.13894905542
ResNet,70,,,,,,6210.986758612975,16856.57469753856
ResNet,71,,,,,,6132.780517314659,16918.84879740376
ResNet,72,,,,,,6142.960501981172,16323.712546795736
ResNet,73,,,,,,6031.287435515074,17015.755628596453
ResNet,74,,,,,,5832.400925226256,16628.68694182362
ResNet,75,,,,,,5896.798264096328,17032.921462921826
ResNet,76,,,,,,5931.1884188384565,16795.229858817685
ResNet,77,,,,,,5743.107657840488,16745.3245830724
ResNet,78,,,,,,5584.590262491624,17126.01039032714
ResNet,79,,,,,,5584.458695135543,16730.550825005612
ResNet,80,,,,,,5609.024821988559,17020.55504597601
ResNet,81,,,,,,5483.154763005879,16966.416971663595
ResNet,82,,,,,,5515.218805620162,17061.63897441029
ResNet,83,,,,,,5452.02077990167,16502.500764338547
ResNet,84,,,,,,5388.930231486029,16949.830706396515
ResNet,85,,,,,,5312.044556307343,16747.038113415532
ResNet,86,,,,,,5191.303262156911,16659.672122456144
ResNet,87,,,,,,5388.270839356511,17530.605135813483
ResNet,88,,,,,,5385.991072462105,16876.45611588997
ResNet,89,,,,,,5479.124717526041,17120.64275050119
ResNet,90,,,,,,5282.340507741884,16746.010104223285
ResNet,91,,,,,,5298.942304034258,16715.70881716825
ResNet,92,,,,,,5310.758801939639,17333.27666643035
ResNet,93,,,,,,5247.708123183662,17443.81160531773
ResNet,94,,,,,,5090.634973113089,17702.434104355227
ResNet,95,,,,,,5094.138754414843,16942.052741082964
ResNet,96,,,,,,5075.708238370205,16959.184621176093
ResNet,97,,,,,,5066.728299967544,16886.846447278116
ResNet,98,,,,,,4919.826877732969,16822.702526206598
ResNet,99,,,,,,4901.464500782721,17175.547142703115
ResNet,100,,,,,,4873.262225766179,17165.470092023406
ResNet,101,,,,,,4884.770116267485,17340.223896915468
ResNet,102,,,,,,5101.686806299927,16907.451360251835
ResNet,103,,,,,,4883.408993307457,16968.155913371025
ResNet,104,,,,,,4906.202813487093,16705.3452854466
ResNet,105,,,,,,4798.318946242515,17299.617263933855
ResNet,106,,,,,,4946.722015577738,16982.009004917367
ResNet,107,,,,,,4736.366977761874,17327.230475765668
ResNet,108,,,,,,4751.554185433904,17044.840989273165
ResNet,109,,,,,,4696.787972135595,17094.450048568113
ResNet,110,,,,,,4770.668617203161,17270.15451940706
ResNet,111,,,,,,4696.72121942595,17450.069657581254
ResNet,112,,,,,,4712.969630653202,17480.367714167416
ResNet,113,,,,,,4523.042418894643,16964.930428206826
ResNet,114,,,,,,4474.769965141878,16826.005163593065
ResNet,115,,,,,,4557.492298017234,17219.07311415156
ResNet,116,,,,,,4544.8513134266,16476.505916977327
ResNet,117,,,,,,4599.312920795505,16810.07301310133
ResNet,118,,,,,,4603.044208582292,17550.787094543633
ResNet,119,,,,,,4655.830930550806,16978.05899388923
ResNet,120,,,,,,4644.424958732387,16646.951384437427
ResNet,121,,,,,,4590.518536791046,17247.072817216496
ResNet,122,,,,,,4509.384694596888,17461.031972675326
ResNet,123,,,,,,4592.1147764134885,17061.971388568054
ResNet,124,,,,,,4437.702662096098,17387.80996919014
ResNet,125,,,,,,4378.470837869563,17540.065099981883
ResNet,126,,,,,,4447.756102136756,17490.155079245043
ResNet,127,,,,,,4453.479337107981,17090.063741773207
ResNet,128,,,,,,4343.798431068354,17939.60023721573
ResNet,129,,,,,,4415.404345471968,16809.972727760578
ResNet,130,,,,,,4281.598320249576,17085.44579196551
ResNet,131,,,,,,4448.49999256526,17216.59500900467
ResNet,132,,,,,,4355.52690112336,17735.645144382444
ResNet,133,,,,,,4248.997069554795,17457.367917744865
ResNet,134,,,,,,4184.250417287754,16832.012119258477
ResNet,135,,,,,,4129.237269871533,17225.637470103407
ResNet,136,,,,,,4264.951813824207,17672.128078585818
ResNet,137,,,,,,4184.775543137168,17101.841589912798
ResNet,138,,,,,,4420.064212763285,16622.943494149673
ResNet,139,,,,,,4273.327023323867,16612.925847529597
ResNet,140,,,,,,3929.261939399847,16727.581299405072
ResNet,141,,,,,,4108.054382241045,17643.462012066455
ResNet,142,,,,,,4101.39110456572,17236.726878512756
ResNet,143,,,,,,4144.878642514816,17612.385565411132
ResNet,144,,,,,,4184.532947891882,17464.87240401828
ResNet,145,,,,,,4318.0014425433765,17502.749913227268
ResNet,146,,,,,,4247.453295993247,16956.06960841004
ResNet,147,,,,,,4039.099377424964,17557.25620468125
ResNet,148,,,,,,4079.706090818874,17191.60822978454
ResNet,149,,,,,,3918.10308349469,17359.040213869557
ResNet,150,,,,,,4066.909999501224,17183.073561923484
ResNet,151,,,,,,3935.089624165555,18426.47334083148
ResNet,152,,,,,,3996.333171915247,17312.201364682784
ResNet,153,,,,,,4048.640424915882,17054.716269346012
ResNet,154,,,,,,4061.535390253917,17474.85707847652
ResNet,155,,,,,,4014.287056424114,18377.017890568382
ResNet,156,,,,,,4176.264429206907,17308.97724892771
ResNet,157,,,,,,4031.207297696768,16706.484901728956
ResNet,158,,,,,,3854.520430486206,17387.960777739703
ResNet,159,,,,,,3807.8907980682816,18272.73051736735
ResNet,160,,,,,,3929.6970376788768,17554.835571577536
ResNet,161,,,,,,3923.841737635547,18198.949013449404
ResNet,162,,,,,,4080.55335865468,16879.320749686878
ResNet,163,,,,,,4111.154249154971,17035.440212601814
ResNet,164,,,,,,3954.836485566866,17202.145879735206
ResNet,165,,,,,,3842.218986740501,17087.319424587233
ResNet,166,,,,,,3725.251941951736,17005.93011170174
ResNet,167,,,,,,3845.633018868839,17578.849771781555
ResNet,168,,,,,,3739.267784674611,17563.96955034
ResNet,169,,,,,,4130.826629990361,17968.847437964265
ResNet,170,,,,,,3968.6058578295897,17091.266814648025
ResNet,171,,,,,,3688.232734937933,17105.115589835503
ResNet,172,,,,,,3727.1035052325183,17294.7063559612
ResNet,173,,,,,,3722.2331800376905,17101.505893714846
ResNet,174,,,,,,3650.777289372167,17158.383928483512
ResNet,175,,,,,,3834.321230465365,17898.313218490544
ResNet,176,,,,,,3586.2305710382507,17230.257738096996
ResNet,177,,,,,,3755.681162028528,17223.99825765274
ResNet,178,,,,,,3800.9716997416817,17212.743077074374
ResNet,179,,,,,,3652.171238598963,16982.233298587314
ResNet,180,,,,,,3798.0836529809912,17431.919693311927
ResNet,181,,,,,,3754.148082919065,17364.41827196224
ResNet,182,,,,,,3906.5026245689314,17307.46070918309
ResNet,183,,,,,,3812.09444935786,17059.25674224141
ResNet,184,,,,,,3735.757298056774,17247.34923649841
ResNet,185,,,,,,3853.4183205174254,17562.348480837136
ResNet,186,,,,,,3906.086869611756,17314.540228947088
ResNet,187,,,,,,3866.097297090142,17258.801890894796
ResNet,188,,,,,,3506.67813160088,17887.309795213885
ResNet,189,,,,,,3387.990931352051,16887.120403137505
ResNet,190,,,,,,3364.927076454372,17068.055320079384
ResNet,191,,,,,,3676.5732244333567,17430.241458485954
ResNet,192,,,,,,3592.497148159957,17566.76466877678
ResNet,193,,,,,,3641.266384635792,17962.290692781196
ResNet,194,,,,,,3696.259154432077,17133.173385460977
ResNet,195,,,,,,3455.725274532288,17839.900983818177
ResNet,196,,,,,,3429.785259674808,17465.571397343796
ResNet,197,,,,,,3419.546056001676,16742.439938867687
ResNet,198,,,,,,3381.9734286417747,17321.89724477493
ResNet,199,,,,,,3374.8669798580627,17105.62386783122
ResNet,200,,,,,,3715.235791092934,17749.094761302364
TabR,1,,,275.71929931640625,366.43367834439016,-1.2712194919586182,133400.18999136478,134273.71737985237
TabR,2,,,268.8700256347656,358.8549389203108,-1.180012345314026,129191.4691154215,128777.31570874492
TabR,3,,,261.27069091796875,350.2987564208586,-1.0797119140625,123175.61383088995,122708.62555042222
TabR,4,,,253.78909301757807,342.19464033646113,-0.9867810010910034,116019.48872639592,117096.9561456758
TabR,5,,,239.75259399414065,327.7166745071114,-0.8263023495674133,108030.58603325544,107398.58325825338
TabR,6,,,228.93760681152344,315.9119982289372,-0.6995819807052612,99505.30601133754,99800.1597049087
TabR,7,,,210.9375457763672,297.5070639917648,-0.5119812488555908,90806.99644640206,88510.29706651543
TabR,8,,,196.7514038085937,284.45960279976487,-0.3884227275848388,82316.7292399602,80917.18621477889
TabR,9,,,191.08688354492188,278.37182867524507,-0.333059549331665,74305.83134714625,77491.15997150408
TabR,10,,,169.4852294921875,255.5002446182782,-0.1307287812232971,67060.01143080671,65280.827061695534
TabR,11,,,159.42059326171875,244.16035970238903,-0.0399675369262695,60731.14888833831,59614.3802398423
TabR,12,,,145.1518096923828,227.4964371286944,0.083085149526596,55325.14430666163,51754.784537763495
TabR,13,,,139.70205688476562,225.05525363230248,0.1004524827003479,50877.13245750944,50650.01840763541
TabR,14,,,134.11158752441406,219.42151394348275,0.1451472640037536,47302.45302342907,48145.75194875559
TabR,15,,,125.47184753417967,209.82744026342212,0.2010507583618164,44489.052857007824,44027.66320449613
TabR,16,,,123.51956176757812,208.7092026001729,0.2241767048835754,42055.90987042983,43559.72094861183
TabR,17,,,119.33843994140624,205.58073231701457,0.2461374402046203,39909.22223633528,42263.773772159664
TabR,18,,,110.4669189453125,194.9307368977504,0.3142441213130951,37844.856254024686,37998.30118422012
TabR,19,,,106.3857192993164,189.44980989367605,0.3527385592460632,34840.08172958341,35891.51574094314
TabR,20,,,100.92598724365234,186.3513566492072,0.3789215683937073,32100.37515921805,34727.08391692612
TabR,21,,,97.2760238647461,176.7204161062043,0.4345895648002624,29673.261098555,31230.27713007984
TabR,22,,,90.95372772216795,169.91894896905995,0.4709037244319916,27253.92948526585,28872.64312202388
TabR,23,,,88.0,166.36503304105102,0.497743159532547,25056.56320591951,27677.611756080736
TabR,24,,,83.478271484375,158.35001282759657,0.5407983064651489,23104.767267965963,25074.90168476956
TabR,25,,,79.60808563232422,152.48716646819824,0.5724755525588989,21313.315871071813,23252.52682711376
TabR,26,,,79.45448303222656,149.09907177150703,0.5902822613716125,19866.4399455794,22230.725800376928
TabR,27,,,75.70706176757812,145.97476772545315,0.6062254905700684,18592.211641650247,21308.756507585786
TabR,28,,,72.9102554321289,143.17205831184378,0.6193032264709473,17667.449637280082,20498.32929926279
TabR,29,,,72.07621002197266,142.15799144349924,0.6234835386276245,16611.802239274406,20208.994319893776
TabR,30,,,70.08255004882812,140.5863071768549,0.630142867565155,15831.04988627348,19764.700485078043
TabR,31,,,69.70806884765625,140.391138876355,0.6332408785820007,15253.320305884505,19709.870212975984
TabR,32,,,69.22444915771484,139.06172752594438,0.6383978724479675,14594.99101626501,19338.33127768112
TabR,33,,,69.77312469482422,135.59939274384675,0.6564217805862427,14439.180991906447,18387.320856706585
TabR,34,,,69.37042999267578,135.22019802205955,0.6584979295730591,13893.64323488984,18284.68424399164
TabR,35,,,66.58628845214844,133.4775993612786,0.6677002906799316,13566.974712345957,17816.381632575445
TabR,36,,,66.21023559570312,133.44373521731922,0.6661487221717834,13095.89839749933,17807.36785626546
TabR,37,,,67.88079071044922,133.9958604771058,0.6630079746246338,12948.164463168245,17954.98770811917
TabR,38,,,68.34526062011719,133.56696003316088,0.6643785834312439,12690.71152922529,17840.188990214006
TabR,39,,,69.61893463134766,134.5736903150092,0.6593852043151855,12360.962505680094,18110.1762770854
TabR,40,,,66.2005615234375,134.61133287171626,0.6597275733947754,12145.390065867565,18120.38939276564
TabR,41,,,64.99169921875,130.7439948429755,0.6789177060127258,12025.196783155388,17094.132326172676
TabR,42,,,64.44800567626953,130.2067916575399,0.6807147264480591,11803.455278351428,16953.943367683027
TabR,43,,,66.6247787475586,133.6549823122019,0.6630756855010986,11646.529507847765,17863.816867345537
TabR,44,,,65.62211608886719,131.76057684062786,0.6730637550354004,11553.719654015133,17361.02211107722
TabR,45,,,63.52228546142578,131.23891322222232,0.6749793291091919,11347.114302636328,17223.835858481427
TabR,46,,,65.45046997070312,132.15866263463397,0.6702896356582642,11160.840560900466,17466.123716594342
TabR,47,,,64.9295425415039,131.7046811881605,0.6729151010513306,11059.188634526685,17346.302725143858
TabR,48,,,63.763519287109375,129.846987775516,0.6812164783477783,11070.477950400154,16860.334377590872
TabR,49,,,64.9057846069336,131.72328358152936,0.6722853183746338,10737.968257560988,17351.13054527001
TabR,50,,,64.29898071289062,131.71120604138054,0.6722584366798401,10626.33014303378,17348.045388047663
TabR,51,,,65.35751342773438,134.57973502026596,0.6567890048027039,10482.35028508631,18111.82899168114
TabR,52,,,66.29379272460938,133.07619410510657,0.6684494018554688,10631.3529573695,17709.472254572247
TabR,53,,,61.954376220703125,129.61246323174328,0.682424783706665,10324.706071818557,16799.52526126593
TabR,54,,,61.35296630859375,128.88326689052772,0.6861504316329956,10239.164669364003,16611.049219525416
TabR,55,,,62.89443588256836,129.6748789039342,0.6824974417686462,10110.242668177276,16815.74383279719
TabR,56,,,61.33872985839844,128.57539738418075,0.6875579953193665,10005.9753589337,16531.82876970295
TabR,57,,,62.05239868164063,129.71621670014895,0.6817607879638672,9965.98591231804,16826.422395328696
TabR,58,,,63.46556091308594,129.59492931100738,0.6828635931015015,9948.26069953294,16795.024190576554
TabR,59,,,63.18016815185547,129.3785703009776,0.6833082437515259,9885.289028945592,16738.941377264215
TabR,60,,,62.20509338378906,129.8107622055082,0.680903434753418,9629.137803568156,16850.97408953863
TabR,61,,,63.11742782592773,130.73029547985425,0.6767686605453491,9641.609978540871,17090.561506759903
TabR,62,,,61.85090255737305,130.61761342751598,0.6766729354858398,9533.291149088773,17061.13485473629
TabR,63,,,60.999244689941406,128.23879854835275,0.6879059076309204,8673.40095936529,16445.345502655367
TabR,64,,,60.09206771850586,127.88765363835948,0.6898219585418701,8446.064261129479,16355.402223714384
TabR,65,,,61.03893280029297,128.50791865192588,0.6866435408592224,8304.592184750723,16514.43721186529
TabR,66,,,60.37378692626953,129.27799805554696,0.6827782988548279,8270.480304178014,16712.879618955696
TabR,67,,,60.513702392578125,129.2352279396953,0.6824387311935425,8220.48095570046,16701.88386066539
TabR,68,,,60.29090881347656,128.70054420290927,0.6854133009910583,8223.977384252217,16563.91908774902
TabR,69,,,60.34344482421875,128.50210510192042,0.6863678693771362,8211.09669654932,16512.902988391408
TabR,70,,,60.88196563720703,129.15298734688642,0.6830775737762451,8110.36835712727,16680.652054630635
TabR,71,,,60.039100646972656,128.10685847174616,0.6880635023117065,7681.695114596688,16411.5578311346
TabR,72,,,59.45798110961914,127.86221145118482,0.6891276240348816,7538.1949506631745,16348.902175773988
TabR,73,,,60.8011360168457,128.35105819830625,0.6868206262588501,7527.332249799812,16474.12755225688
TabR,74,,,59.547401428222656,128.17169880671787,0.6876838803291321,7476.663570126374,16428.141506450967
TabR,75,,,60.19841766357422,129.03297937203882,0.6834027767181396,7429.142032654331,16649.646912761524
TabR,76,,,60.105838775634766,128.30420394515528,0.6869214773178101,7464.601382954687,16462.017395779178
TabR,77,,,59.29930114746094,128.28196178243456,0.6871209144592285,7443.586859607743,16456.392570740085
TabR,78,,,59.62068939208984,128.16084864341371,0.6877375841140747,7413.643624300204,16425.351887590048
TabR,79,,,59.72591400146485,128.2025298965469,0.6874178051948547,7127.3059581405,16436.084125857633
TabR,80,,,59.68283081054688,128.21105341876728,0.687296986579895,7106.779668035058,16438.22666348869
TabR,81,,,59.40717315673828,128.1267149275474,0.6876752972602844,7088.246244483293,16416.629053517485
TabR,82,,,59.55546569824219,128.89701860884912,0.6837395429611206,7114.449282962613,16614.63174421072
TabR,83,,,59.94085311889648,128.42861891436036,0.6862285137176514,7000.879673232069,16494.03453957895
TabR,84,,,59.704864501953125,128.53733954088983,0.6857256889343262,7039.150960542232,16521.989922300865
TabR,85,,,59.74363708496094,128.34001014151823,0.6865902543067932,6893.270847760498,16471.382186382416
TabR,86,,,59.44123077392578,128.37792870320428,0.6863383054733276,6922.39313104964,16481.01850188537
TabR,87,,,59.74462890625,128.57582271757005,0.6853048205375671,6879.96482219964,16531.89342382068
TabR,88,,,59.73770904541016,128.56607767263105,0.6854150295257568,6899.203261348436,16529.389425382342
TabR,89,,,59.84706115722656,128.48562814815125,0.685797393321991,6844.49392020208,16508.76959777576
TabR,90,,,59.683441162109375,128.57371122725672,0.6853179931640625,6832.704967884693,16531.422472747206
TabR,91,,,59.623565673828125,128.73488230419522,0.6844813823699951,6816.276988028661,16572.785628392136
TabR,92,,,59.63809585571289,128.55862597468908,0.6853777170181274,6790.271340991831,16527.466492862728
TabR,93,,,59.811500549316406,128.91291270660204,0.6836080551147461,6797.629137507717,16618.725768375632
TabR,94,,,59.57046890258789,128.4406705813038,0.6859986782073975,6812.9512578725935,16497.1386893834
TabR,95,,,59.73316955566406,128.62814318316967,0.6850494146347046,6815.327859876332,16545.302750252566
TabR,96,,,59.529518127441406,128.45465213938343,0.6859024167060852,6770.877430071445,16500.692662146852
TabR,97,,,59.59587860107422,128.58967566449493,0.685286283493042,6744.544230467273,16535.42049500583
TabR,98,,,59.592529296875,128.2475100269982,0.6870201826095581,6723.691051436369,16447.574889854015
TabR,99,,,59.71112060546875,128.90083700756173,0.6836380958557129,6739.435276312779,16615.549433503285
TabR,100,,,59.602638244628906,128.64970304571247,0.6849278211593628,6711.614785079018,16550.930937027366
TabR,101,,,59.79255294799805,128.86285254341144,0.6838297843933105,6702.521086537571,16605.750073172185
TabR,102,,,59.48848342895508,128.49870804311612,0.685677707195282,6699.656274577334,16512.082989442526
TabR,103,,,59.676849365234375,128.744144284313,0.6844176054000854,6699.540843402887,16575.161142997527
TabR,104,,,59.65486907958984,128.61462846912087,0.6850885152816772,6681.812718219037,16541.89634516938
TabR,105,,,59.77544403076172,128.9006703337884,0.6836369633674622,6705.523903342413,16615.474833568667
TabR,106,,,59.77069091796875,128.83070134628235,0.6839847564697266,6620.738801297166,16597.508765276925
TabR,107,,,59.5859603881836,128.6930471728174,0.6847104430198669,6717.070126235344,16562.080906866147
TabR,108,,,59.632938385009766,128.65421953097768,0.6849244832992554,6704.338379671647,16552.056469171926
TabR,109,,,59.664527893066406,128.77972199408958,0.6842511892318726,6712.844155049088,16584.402115617715
TabR,110,,,59.90631484985352,128.9210256683331,0.6835719347000122,6705.893665531663,16620.77897864677
TabR,111,,,59.752471923828125,128.87407553014688,0.6837395429611206,6712.017062297135,16608.68082668445
TabR,112,,,59.797157287597656,128.89497299157946,0.6836775541305542,6692.285654919885,16614.045495621238
TabR,113,,,59.70903015136719,128.90397346474623,0.6835851073265076,6672.417212664267,16616.38107027582
TabR,114,,,59.56043243408203,128.5643458180572,0.6853402853012085,6678.324117752156,16528.899853311003
TabR,115,,,59.620826721191406,128.6811102104734,0.684777557849884,6693.202082936404,16559.04467398807
TabR,116,,,59.660377502441406,128.735982246612,0.6844955086708069,6674.005419125323,16573.099946680926
TabR,117,,,59.75032424926758,128.68630099004324,0.6847747564315796,6678.274848038995,16560.30617352922
TabR,118,,,59.8266830444336,128.83979726534423,0.6839262843132019,6667.284612302434,16599.810330127788
TabR,119,,,59.71559143066406,128.82948092827976,0.684021532535553,6683.55925448029,16597.191388341584
TabR,120,,,59.58733749389648,128.56015281036733,0.6853641867637634,6661.817833970052,16527.803642196264
TabR,121,,,59.53569793701172,128.52619352441354,0.6855361461639404,6716.011477895969,16519.126054196404
TabR,122,,,59.51654815673828,128.60863750396004,0.6851527690887451,6672.155702063906,16540.302184506647
TabR,123,,,59.61629104614258,128.54027973995156,0.685524582862854,6661.076214098784,16522.713221592207
TabR,124,,,59.59099578857422,128.66735818574966,0.6848329305648804,6687.068744669911,16555.352525861967
TabR,125,,,59.6217155456543,128.755498972374,0.68436598777771,6672.026506547525,16578.093250533682
TabR,126,,,59.712646484375,128.79196828121698,0.6841869354248047,6653.341711658189,16587.48747777141
TabR,127,,,59.628883361816406,128.65164629242022,0.6849160194396973,6684.073916560326,16551.467862456477
TabR,128,,,59.72348785400391,128.82206720899956,0.6840771436691284,6681.54035214851,16595.257347435072
TabR,129,,,59.75825500488281,128.77353395350693,0.6843266487121582,6701.57408052461,16582.849653992187
TabR,130,,,59.80207061767578,128.99015072622794,0.6831427812576294,6667.165520197476,16638.66245480433
TabR,131,,,59.665313720703125,128.81275018170754,0.6840924024581909,6700.089103710689,16592.873596989517
TabR,132,,,59.647705078125,128.66752516175168,0.6848345994949341,6651.785497532635,16555.466334025547
TabR,133,,,59.59331130981445,128.63245544476712,0.6850226521492004,6681.309256899562,16546.536458210252
TabR,134,,,59.69125747680664,128.6753955574841,0.6848340034484863,6664.101482825589,16557.537268458345
TabR,135,,,59.56863021850586,128.4813793658443,0.6857826709747314,6674.670466853353,16507.591152110508
TabR,136,,,59.83404541015625,128.9050795401407,0.6836420297622681,6726.486835910423,16616.67249108641
TabR,137,,,59.78165435791016,129.01107480319277,0.6830739974975586,6700.5791499017705,16644.0408477413
TabR,138,,,59.54624938964844,128.3975987290066,0.6862564086914062,6710.532972044209,16486.13399919406
TabR,139,,,59.68855285644531,128.92438887532103,0.683502197265625,6699.279947601277,16621.706457503762
TabR,140,,,59.64801788330078,128.61113567164392,0.6851115226745605,6676.41025988635,16541.009575894263
TabR,141,,,59.754695892333984,128.711637185124,0.6846514940261841,6696.635989749336,16566.790371045132
TabR,142,,,59.436561584472656,128.5227667088598,0.6855698823928833,6676.563550067576,16518.172096978193
TabR,143,,,59.82453918457031,128.92805497398538,0.6835163831710815,6722.983428618774,16622.605705313395
TabR,144,,,59.779144287109375,128.80278044359136,0.6841735243797302,6695.30653818867,16590.313684540128
TabR,145,,,59.62368774414063,128.65193474060155,0.6849045753479004,6678.920235718715,16551.43002062114
TabR,146,,,59.53675079345703,128.59578142380877,0.6851929426193237,6687.650964980768,16536.9217200399
TabR,147,,,59.63763046264648,128.80231795031872,0.6841347217559814,6698.080279770683,16590.15300980766
TabR,148,,,59.68729019165039,128.73407820241306,0.6845035552978516,6670.712777726956,16572.58074036712
TabR,149,,,59.56729888916016,128.5851721015102,0.6852423548698425,6674.03351846874,16534.33056152913
TabR,150,,,59.64790344238281,128.82415188688415,0.6840158700942993,6705.43309869556,16595.784807435917
TabR,151,,,59.65938568115234,128.64849609255057,0.6849281787872314,6730.17258813886,16550.628610422675
TabR,152,,,59.65815734863281,128.54165484872988,0.6854782104492188,6674.487403439153,16523.106674583294
TabR,153,,,59.56151580810547,128.51977291938388,0.6855958700180054,6703.614050835959,16517.516770461625
TabR,154,,,59.65458297729492,128.62436983567693,0.6851142048835754,6681.635528526232,16544.32797256308
TabR,155,,,59.665313720703125,128.881455948868,0.6837750673294067,6699.692311018991,16610.54856214503
TabR,156,,,59.64811325073242,128.71414852785222,0.6845707893371582,6701.721023038047,16567.46137407147
TabR,157,,,59.532169342041016,128.51539608642227,0.685624361038208,6694.17344033774,16516.431374429638
TabR,158,,,59.59505462646485,128.67904598263075,0.6847493648529053,6682.636695380378,16558.44640552874
TabR,159,,,59.59416961669922,128.5545467277412,0.6854039430618286,6677.204417933181,16526.426600206138
TabR,160,,,59.836212158203125,128.9094128399862,0.68359375,6668.217215820474,16617.776670676674
TabR,161,,,59.49282836914063,128.47532137778447,0.6858232617378235,6722.278366340193,16506.073753408138
TabR,162,,,59.635353088378906,128.64352393338734,0.6849671602249146,6702.610012395285,16549.296094660807
TabR,163,,,59.58697509765625,128.57109839987368,0.6853152513504028,6665.8719701031305,16530.681422923903
TabR,164,,,59.80712890625,128.9274338654307,0.6834845542907715,6661.841110775054,16622.458153572232
TabR,165,,,59.59547424316406,128.54520271338404,0.685474693775177,6720.079368282349,16524.042489346033
TabR,166,,,59.84775161743164,128.8328920054968,0.6840230822563171,6696.970914259303,16598.066367602285
TabR,167,,,59.575645446777344,128.55614197938968,0.6853985786437988,6686.2325358922935,16526.763059111803
TabR,168,,,59.791446685791016,128.71667499541385,0.6846308708190918,6707.6745124403005,16568.087661323436
TabR,169,,,59.792755126953125,128.85432666387263,0.6839091181755066,6654.748958278717,16603.64418502064
