Model,Parameters (M),Model Size (MB),Training Time (s),Peak Memory (MB),Net Peak Memory (MB),FLOPs (M)
H-ST-MBAN,1.385284,5.316780090332031,1.9401960372924805,46.68505859375,14.50341796875,198750.0
FTT,0.276898,1.0562820434570312,1.9257919788360596,357.3359375,337.806640625,126000.0
LSTM,0.050562,0.19287872314453125,0.8266370296478271,86.35986328125,66.615234375,69750.0
GRU,0.037954,0.14478302001953125,0.9468755722045898,82.7919921875,63.18896484375,52500.0
ResNet,0.104834,0.40679931640625,0.9083042144775391,22.44384765625,2.06787109375,15000.0
TabR,0.071298,0.2769012451171875,0.8134291172027588,21.55517578125,1.56591796875,10500.000000000002
MLP,0.037762,0.147003173828125,0.7138903141021729,20.66650390625,1.06396484375,4500.0
