Model,Epoch,MAE
w/o Traffic (T),159,20.743558272131654
w/o Traffic (T),160,20.547735336559967
w/o Traffic (T),161,20.56701730987673
w/o Traffic (T),162,20.839461172947395
w/o Traffic (T),163,20.614479755118733
w/o Traffic (T),164,20.580431970081605
w/o Traffic (T),165,20.576515647666056
w/o Traffic (T),166,20.756319336162164
w/o Traffic (T),167,20.604100611424332
w/o Traffic (T),168,20.525141398241992
w/o Traffic (T),169,20.697581352166996
w/o Traffic (T),170,20.87168713634461
w/o Traffic (T),171,20.78680021300101
w/o Traffic (T),172,20.7733292870597
w/o Traffic (T),173,20.603679591943106
w/o Traffic (T),174,20.619513329337984
w/o Traffic (T),175,20.84258082595505
w/o Traffic (T),176,20.643814623220266
w/o Traffic (T),177,20.640898627715135
w/o Traffic (T),178,20.89681798788135
w/o Traffic (T),179,20.65946441109794
w/o Traffic (T),180,20.62815018228701
w/o Traffic (T),181,20.68978224461047
w/o Traffic (T),182,20.647726739435022
w/o Traffic (T),183,20.66742704875179
w/o Traffic (T),184,20.835486325678662
w/o Traffic (T),185,20.675212064911587
w/o Traffic (T),186,20.861523382582245
w/o Traffic (T),187,20.701147636299876
w/o Traffic (T),188,20.766107639698788
w/o Traffic (T),189,20.88343239664279
w/o Traffic (T),190,20.881675839762373
w/o Traffic (T),191,20.620377747285666
w/o Traffic (T),192,20.636815804650954
w/o Traffic (T),193,20.761735836910642
w/o Traffic (T),194,20.787834189517778
w/o Traffic (T),195,20.693824191390974
w/o Traffic (T),196,20.643475231493316
w/o Traffic (T),197,20.655342708759363
w/o Traffic (T),198,20.754465437560707
w/o Traffic (T),199,20.616033653001264
w/o Traffic (T),200,20.612529625632654
