Model,Epoch,MAE
w/o Social (S),177,21.79093606914285
w/o Social (S),178,21.43154284643318
w/o Social (S),179,21.17230861312099
w/o Social (S),180,21.57926033721898
w/o Social (S),181,21.5176365250401
w/o Social (S),182,21.13925742308319
w/o Social (S),183,21.15310823011458
w/o Social (S),184,21.268731360414645
w/o Social (S),185,21.19960909042618
w/o Social (S),186,21.139329527599468
w/o Social (S),187,21.261617551554792
w/o Social (S),188,21.486002263010914
w/o Social (S),189,21.15008302316451
w/o Social (S),190,21.134739913505534
w/o Social (S),191,21.59235083289266
w/o Social (S),192,21.260214278097123
w/o Social (S),193,21.16296790177031
w/o Social (S),194,21.13544242392593
w/o Social (S),195,21.222851857058867
w/o Social (S),196,21.13419108543046
w/o Social (S),197,21.80166533848908
w/o Social (S),198,21.61351639784259
w/o Social (S),199,21.47108206999198
w/o Social (S),200,21.15409102078727
