Model,Epoch,Train_Loss,Val_Loss,MAE,RMSE,R2
ST_MBAN_Global,1,60445.31598837271,31661.751394470444,86.91895294189453,177.93293373136407,0.2264350056648254
ST_MBAN_Global,2,26842.37831110687,21234.331717171262,66.05017852783203,145.7141827238344,0.455230563879013
ST_MBAN_Global,3,21400.541532597887,19353.0986334302,64.79093933105469,139.1112274180269,0.4962357878684997
ST_MBAN_Global,4,20126.90738911401,18378.56638536062,63.06967926025391,135.5627305207814,0.5198894739151001
ST_MBAN_Global,5,19427.413250594785,18166.839839369968,60.083194732666016,134.77890604848,0.5243107676506042
ST_MBAN_Global,6,18840.832242135984,17265.71361523943,61.28435897827149,131.3942510871385,0.546294093132019
ST_MBAN_Global,7,18365.02710770707,16837.40051165345,58.87872314453125,129.754350240175,0.5564059019088745
ST_MBAN_Global,8,18036.56384455708,16432.486412332306,60.510990142822266,128.18538973153298,0.5673671960830688
ST_MBAN_Global,9,17598.372594759872,15890.837838096711,58.59619140625,126.05476085564956,0.5799216628074646
ST_MBAN_Global,10,17202.528404088105,15766.648299633296,58.91655731201172,125.5607461612207,0.5836039781570435
ST_MBAN_Global,11,16799.090242450733,15416.356941443311,58.326904296875,124.1580512076744,0.5925093293190002
ST_MBAN_Global,12,16544.880854301093,15312.627343974616,56.98133850097656,123.73901860998616,0.5960581302642822
ST_MBAN_Global,13,16217.88981688918,14592.31146483653,55.10423278808594,120.7943799460989,0.612575888633728
ST_MBAN_Global,14,15819.009502415613,14283.198308938858,57.126163482666016,119.50816362021048,0.6206273436546326
ST_MBAN_Global,15,15388.666665050903,13978.069332207251,54.22101593017578,118.22453643649868,0.6287639141082764
ST_MBAN_Global,16,15254.265195260195,13729.352592850248,53.56584930419922,117.1680317162066,0.6342724561691284
ST_MBAN_Global,17,14941.266106000296,13756.646216326704,55.754661560058594,117.28463474332432,0.6361523866653442
ST_MBAN_Global,18,14590.570299043118,13355.149122228868,53.52703857421875,115.55995214200506,0.6448158025741577
ST_MBAN_Global,19,14409.376694036908,13543.340773279306,53.600059509277344,116.3720587369988,0.6390725374221802
ST_MBAN_Global,20,14116.692160669663,13062.11546516094,53.48149108886719,114.28559517990443,0.6518653035163879
ST_MBAN_Global,21,13997.148947632137,12910.063459748311,52.9079704284668,113.61873435694925,0.655553936958313
ST_MBAN_Global,22,13744.026672462178,12754.716235083826,52.61394500732422,112.93305971487048,0.6592820882797241
ST_MBAN_Global,23,13542.566737554016,12371.481972207815,50.74697494506836,111.22351334980836,0.6686292886734009
ST_MBAN_Global,24,13238.776908402828,12610.270701849497,51.75666046142578,112.29167777906562,0.6645374298095703
ST_MBAN_Global,25,13070.323492808386,13065.76800394267,53.638710021972656,114.30158162728983,0.6516593098640442
ST_MBAN_Global,26,13091.987756379467,12286.672996263978,51.68859100341797,110.84160027517872,0.670907735824585
ST_MBAN_Global,27,12775.4264613961,12207.922852260415,53.14126586914063,110.4860886322346,0.6727460026741028
ST_MBAN_Global,28,12664.751587170014,12041.524098323202,50.59225463867188,109.73043141319094,0.6776474714279175
ST_MBAN_Global,29,12397.00465076853,12598.062093082246,53.061012268066406,112.23711037492234,0.6636093258857727
ST_MBAN_Global,30,12332.83054000088,11996.226344509205,52.52948760986328,109.52433555208177,0.677726686000824
ST_MBAN_Global,31,12244.229792725197,12284.049844268224,50.447547912597656,110.82982450586124,0.6706593036651611
ST_MBAN_Global,32,12143.630059500756,12459.524796336562,52.37451553344727,111.61839898595348,0.6658385992050171
ST_MBAN_Global,33,12069.663900967282,11782.50043136892,50.154388427734375,108.54393191814088,0.684438943862915
ST_MBAN_Global,34,11939.213996409664,11390.305265255023,49.574363708496094,106.72263902137868,0.6939667463302612
ST_MBAN_Global,35,11718.337558514771,11609.362583822249,49.572021484375,107.7434606846861,0.6886904239654541
ST_MBAN_Global,36,11623.74831425582,11477.135929213237,49.48937225341797,107.12756159422749,0.6921653747558594
ST_MBAN_Global,37,11609.204161659209,11544.852198318516,50.75999450683594,107.44394432388918,0.6905523538589478
ST_MBAN_Global,38,11419.180913724758,11318.576843062672,47.61508941650391,106.38546511389607,0.6953403353691101
ST_MBAN_Global,39,11346.700206344736,11401.38210021544,49.09618377685547,106.77414832252234,0.6932538747787476
ST_MBAN_Global,40,11275.264489351488,11495.762504163436,48.70654678344727,107.21513856494332,0.6906650066375732
ST_MBAN_Global,41,11314.36026826019,11479.948698135937,51.16543960571289,107.1420822144595,0.6920677423477173
ST_MBAN_Global,42,11105.10358107438,11080.15557850749,47.78801345825195,105.25906006877746,0.7020221948623657
ST_MBAN_Global,43,11070.41384656217,11269.507100055,48.447750091552734,106.1547551042816,0.6979395151138306
