Model,density_bin,delay,traffic,cache_hit
CatBoost,"(5.0, 7.5]",0.7162636165577342,70.01742919389979,0.7836406123086072
CatBoost,"(7.5, 10.0]",0.6088265306122449,62.03316326530612,0.8016373532613609
CatBoost,"(10.0, 12.5]",0.7136772983114447,66.96435272045028,0.7772893299536704
CatBoost,"(12.5, 15.0]",0.64635103926097,61.06466512702079,0.7917003601309787
CatBoost,"(15.0, 17.5]",0.7201940639269406,65.65525114155251,0.7786479937655507
CatBoost,"(17.5, 20.0]",0.6327503168567807,65.04942965779468,0.7941594704869953
CatBoost,"(20.0, 22.5]",0.6143382352941176,61.341911764705884,0.7883285369356166
CatBoost,"(22.5, 25.0]",0.6492102206736353,64.26016260162602,0.7862538793134881
FTT,"(5.0, 7.5]",0.9556209150326798,92.71895424836602,0.6379928574824174
FTT,"(7.5, 10.0]",0.8680102040816327,82.59183673469387,0.6519909854088888
FTT,"(10.0, 12.5]",0.9491557223264541,89.03564727954972,0.6251498504547089
FTT,"(12.5, 15.0]",0.9144919168591225,86.51963048498845,0.6309234868263832
FTT,"(15.0, 17.5]",0.9739726027397261,89.35616438356165,0.6240933286637123
FTT,"(17.5, 20.0]",0.8579974651457541,86.0532319391635,0.6402879907175082
FTT,"(20.0, 22.5]",0.881764705882353,85.48529411764706,0.6295072669780843
FTT,"(22.5, 25.0]",0.8932752613240418,83.44947735191637,0.6408537788622476
GRU,"(5.0, 7.5]",0.9236492374727668,89.12636165577342,0.6831055252592769
GRU,"(7.5, 10.0]",0.7962244897959184,77.26530612244898,0.6966489689713933
GRU,"(10.0, 12.5]",0.9521200750469043,89.26829268292683,0.6551083043225259
GRU,"(12.5, 15.0]",0.842147806004619,77.85219399538106,0.6843778190464938
GRU,"(15.0, 17.5]",0.9237671232876713,81.04566210045662,0.664935739614043
GRU,"(17.5, 20.0]",0.7823320659062104,76.2256020278834,0.7027395305609083
GRU,"(20.0, 22.5]",0.8371139705882352,78.70588235294117,0.6762232174446782
GRU,"(22.5, 25.0]",0.8337049941927991,79.8513356562137,0.6868821599110021
LR,"(5.0, 7.5]",0.8183115468409586,88.74074074074075,0.7158144804983834
LR,"(7.5, 10.0]",0.6947831632653062,77.13265306122449,0.7276189234912414
LR,"(10.0, 12.5]",0.7811632270168856,80.62664165103189,0.7229606034031638
LR,"(12.5, 15.0]",0.7307621247113164,76.24942263279446,0.7229561713281224
LR,"(15.0, 17.5]",0.7925342465753424,79.45433789954338,0.7164044270650277
LR,"(17.5, 20.0]",0.7274778200253486,80.81622306717364,0.7283004844304787
LR,"(20.0, 22.5]",0.7116544117647059,77.05147058823529,0.7213905508584391
